Person Code,Unit Instance Code,Calocc Code,Surname,Forename,Long Description,Register Event ID,Object ID,Register Event Slot ID,Planned Start Date,Planned End Date,is Positive,Postive Marks,Negative Marks,Usage Code
171,1266,2024,Al-Zahra,Donna,History,846,639,653,2024-10-09,2025-04-29,N,0,0,A
171,1266,2025,Al-Zahra,Donna,History,846,639,457,2025-07-03,2025-08-06,N,0,0,A
171,1266,2023,Al-Zahra,Donna,History,295,639,200,2023-07-20,2024-05-18,N,0,0,A
171,557,2023,Al-Zahra,Donna,Arabic,376,639,417,2023-03-29,2024-04-27,N,0,0,A
171,557,2025,Al-Zahra,Donna,Arabic,639,639,272,2025-03-17,2023-04-07,N,0,0,A
171,557,2023,Al-Zahra,Donna,Arabic,880,639,1115,2023-04-20,2023-11-11,Y,1,1,Y
171,557,2023,Al-Zahra,Donna,Arabic,924,639,1124,2023-09-18,2025-05-25,Y,1,1,Y
171,557,2024,Al-Zahra,Donna,Arabic,924,639,997,2024-05-08,2024-05-25,Y,1,1,Y
171,557,2024,Al-Zahra,Donna,Arabic,924,639,846,2024-03-23,2023-05-16,Y,1,1,Y
18,1749,2024,Durand,Charles,International Business,213,376,640,2024-01-07,2023-12-07,Y,1,1,P
18,1867,2024,Durand,Charles,Project Management,788,376,854,2024-04-23,2023-11-13,Y,1,1,P
18,1798,2023,Durand,Charles,Algorithms,860,376,600,2023-01-08,2024-08-09,Y,1,1,P
18,1798,2024,Durand,Charles,Algorithms,640,376,775,2024-06-21,2023-06-21,Y,1,1,P
18,1798,2023,Durand,Charles,Algorithms,640,376,280,2023-07-20,2024-05-18,Y,1,1,P
18,547,2024,Durand,Charles,System Administration,412,376,596,2024-02-18,2024-03-13,Y,1,1,P
18,547,2025,Durand,Charles,System Administration,412,376,1066,2025-01-20,2025-05-23,Y,1,1,P
18,547,2023,Durand,Charles,System Administration,412,376,673,2023-07-07,2024-12-20,Y,1,1,P
18,1896,2023,Durand,Charles,Public Speaking,71,376,1120,2023-08-08,2024-07-31,Y,1,1,P
18,1896,2025,Durand,Charles,Public Speaking,71,376,515,2025-07-21,2024-02-04,Y,1,1,P
350,871,2023,Petrov,So-young,Database Design,658,192,592,2023-09-19,2023-06-28,Y,1,1,P
350,871,2023,Petrov,So-young,Database Design,682,192,68,2023-07-07,2024-12-20,Y,1,1,P
350,1622,2023,Petrov,So-young,Spanish,286,192,453,2023-04-13,2025-08-05,Y,1,1,P
476,278,2025,Mthembu,Klaus,Nursing,37,99,671,2025-04-24,2024-03-29,Y,1,1,O
476,492,2023,Mthembu,Klaus,Italian,726,99,974,2023-02-21,2025-03-13,Y,1,1,P
476,492,2024,Mthembu,Klaus,Italian,99,99,901,2024-11-04,2023-10-09,N,0,0,A
20,1920,2025,Zhou,Natalia,English Literature,678,678,439,2025-07-17,2024-02-11,Y,1,1,O
20,1437,2025,Zhou,Natalia,Cybersecurity,678,678,439,2025-07-17,2024-02-11,Y,1,1,O
20,1317,2024,Zhou,Natalia,Discrete Mathematics,650,678,376,2024-09-25,2023-08-13,Y,1,1,O
100,1143,2025,Lopez,Sarah,Linguistics,223,650,692,2025-03-27,2023-01-11,Y,1,1,O
100,1306,2025,Lopez,Sarah,French,223,650,692,2025-03-27,2023-01-11,Y,1,1,O
100,1306,2024,Lopez,Sarah,French,37,650,197,2024-05-19,2025-06-21,Y,1,1,O
100,1143,2024,Lopez,Sarah,Linguistics,37,650,197,2024-05-19,2025-06-21,Y,1,1,O
212,1143,2025,Verma,Francesca,Linguistics,223,223,498,2025-08-12,2023-11-10,Y,1,1,O
212,1306,2025,Verma,Francesca,French,223,223,498,2025-08-12,2023-11-10,Y,1,1,O
368,1143,2025,Lee,Min-jun,Linguistics,223,205,692,2025-03-27,2023-01-11,Y,1,1,O
368,1306,2025,Lee,Min-jun,French,223,205,692,2025-03-27,2023-01-11,Y,1,1,O
368,1143,2023,Lee,Min-jun,Linguistics,223,205,564,2023-10-24,2024-06-29,Y,1,1,O
368,1306,2023,Lee,Min-jun,French,223,205,564,2023-10-24,2024-06-29,Y,1,1,O
193,278,2023,Sanchez,Wang,Nursing,223,748,842,2023-05-25,2024-10-12,Y,1,1,O
193,278,2023,Sanchez,Wang,Nursing,223,748,564,2023-10-24,2024-06-29,Y,1,1,O
193,492,2025,Sanchez,Wang,Italian,99,748,920,2025-01-05,2025-02-21,N,0,0,A
227,1437,2024,Okafor,Khadija,Cybersecurity,223,462,286,2024-03-19,2024-11-06,Y,1,1,O
227,1143,2024,Okafor,Khadija,Linguistics,223,462,286,2024-03-19,2024-11-06,Y,1,1,O
227,1317,2024,Okafor,Khadija,Discrete Mathematics,650,462,969,2024-02-17,2023-04-13,Y,1,1,O
194,1437,2025,Smirnov,Farid,Cybersecurity,37,146,574,2025-04-03,2023-11-01,Y,1,1,O
194,1143,2025,Smirnov,Farid,Linguistics,37,146,574,2025-04-03,2023-11-01,Y,1,1,O
194,1920,2025,Smirnov,Farid,English Literature,678,146,511,2025-05-04,2024-08-21,Y,1,1,O
194,1437,2025,Smirnov,Farid,Cybersecurity,678,146,511,2025-05-04,2024-08-21,Y,1,1,O
194,1920,2025,Smirnov,Farid,English Literature,205,146,293,2025-05-14,2025-04-18,Y,1,1,P
194,1437,2025,Smirnov,Farid,Cybersecurity,205,146,293,2025-05-14,2025-04-18,Y,1,1,P
194,1920,2023,Smirnov,Farid,English Literature,205,146,988,2023-07-31,2024-07-03,Y,1,1,P
194,1437,2023,Smirnov,Farid,Cybersecurity,205,146,988,2023-07-31,2024-07-03,Y,1,1,P
194,1920,2024,Smirnov,Farid,English Literature,205,146,239,2024-04-20,2025-04-13,Y,1,1,P
194,1437,2024,Smirnov,Farid,Cybersecurity,205,146,239,2024-04-20,2025-04-13,Y,1,1,P
194,1317,2025,Smirnov,Farid,Discrete Mathematics,650,146,824,2025-02-20,2023-12-13,Y,1,1,O
175,492,2023,Li,Fatima,Italian,99,20,1012,2023-07-13,2023-04-21,Y,1,1,P
312,1143,2024,Mpofu,Ahmed,Linguistics,223,897,286,2024-03-19,2024-11-06,Y,1,1,O
312,1437,2024,Mpofu,Ahmed,Cybersecurity,223,897,286,2024-03-19,2024-11-06,Y,1,1,O
312,1143,2025,Mpofu,Ahmed,Linguistics,223,897,692,2025-03-27,2023-01-11,Y,1,1,O
312,1437,2025,Mpofu,Ahmed,Cybersecurity,223,897,692,2025-03-27,2023-01-11,Y,1,1,O
312,1437,2024,Mpofu,Ahmed,Cybersecurity,678,897,330,2024-05-04,2024-06-19,Y,1,1,O
312,1920,2024,Mpofu,Ahmed,English Literature,678,897,330,2024-05-04,2024-06-19,Y,1,1,O
312,1317,2024,Mpofu,Ahmed,Discrete Mathematics,650,897,969,2024-02-17,2023-04-13,Y,1,1,O
209,278,2023,Yoon,Sakura,Nursing,37,546,551,2023-03-19,2024-02-20,Y,1,1,O
209,278,2024,Yoon,Sakura,Nursing,37,546,197,2024-05-19,2025-06-21,Y,1,1,O
209,492,2025,Yoon,Sakura,Italian,99,546,920,2025-01-05,2025-02-21,N,0,0,A
309,1143,2023,Sokolov,Tatiana,Linguistics,223,646,564,2023-10-24,2024-06-29,Y,1,1,O
309,1437,2023,Sokolov,Tatiana,Cybersecurity,223,646,564,2023-10-24,2024-06-29,Y,1,1,O
309,1437,2024,Sokolov,Tatiana,Cybersecurity,37,646,197,2024-05-19,2025-06-21,Y,1,1,O
309,1143,2024,Sokolov,Tatiana,Linguistics,37,646,197,2024-05-19,2025-06-21,Y,1,1,O
309,1143,2025,Sokolov,Tatiana,Linguistics,37,646,671,2025-04-24,2024-03-29,Y,1,1,O
309,1437,2025,Sokolov,Tatiana,Cybersecurity,37,646,671,2025-04-24,2024-03-29,Y,1,1,O
217,278,2024,Bianchi,Christopher,Nursing,223,687,286,2024-03-19,2024-11-06,Y,1,1,O
217,278,2023,Bianchi,Christopher,Nursing,223,687,564,2023-10-24,2024-06-29,Y,1,1,O
217,278,2024,Bianchi,Christopher,Nursing,37,687,197,2024-05-19,2025-06-21,Y,1,1,O
24,278,2025,Liu,Dieter,Nursing,223,935,498,2025-08-12,2023-11-10,Y,1,1,O
482,1143,2023,Lee,Pedro,Linguistics,37,821,551,2023-03-19,2024-02-20,Y,1,1,O
482,1437,2023,Lee,Pedro,Cybersecurity,37,821,551,2023-03-19,2024-02-20,Y,1,1,O
482,1920,2025,Lee,Pedro,English Literature,678,821,439,2025-07-17,2024-02-11,Y,1,1,O
482,1437,2025,Lee,Pedro,Cybersecurity,678,821,439,2025-07-17,2024-02-11,Y,1,1,O
482,1317,2024,Lee,Pedro,Discrete Mathematics,650,821,376,2024-09-25,2023-08-13,N,0,0,A
84,1306,2023,Sanchez,Laura,French,37,553,551,2023-03-19,2024-02-20,N,0,0,W
84,1306,2025,Sanchez,Laura,French,37,553,542,2025-06-19,2024-07-19,N,0,0,W
55,1306,2023,Jang,Khadija,French,37,589,551,2023-03-19,2024-02-20,Y,1,1,O
55,1143,2023,Jang,Khadija,Linguistics,37,589,551,2023-03-19,2024-02-20,Y,1,1,O
55,1306,2025,Jang,Khadija,French,37,589,542,2025-06-19,2024-07-19,Y,1,1,O
55,1143,2025,Jang,Khadija,Linguistics,37,589,542,2025-06-19,2024-07-19,Y,1,1,O
448,1143,2023,Dubois,Ursula,Linguistics,223,370,564,2023-10-24,2024-06-29,Y,1,1,O
448,1437,2023,Dubois,Ursula,Cybersecurity,223,370,564,2023-10-24,2024-06-29,Y,1,1,O
448,1920,2024,Dubois,Ursula,English Literature,678,370,60,2024-05-02,2023-03-20,Y,1,1,O
448,1437,2024,Dubois,Ursula,Cybersecurity,678,370,60,2024-05-02,2023-03-20,Y,1,1,O
441,1437,2025,Omar,Wei,Cybersecurity,37,596,574,2025-04-03,2023-11-01,Y,1,1,O
441,1143,2025,Omar,Wei,Linguistics,37,596,574,2025-04-03,2023-11-01,Y,1,1,O
441,1437,2025,Omar,Wei,Cybersecurity,37,596,542,2025-06-19,2024-07-19,Y,1,1,O
441,1143,2025,Omar,Wei,Linguistics,37,596,542,2025-06-19,2024-07-19,Y,1,1,O
441,1437,2024,Omar,Wei,Cybersecurity,205,596,484,2024-10-08,2024-05-16,Y,1,1,P
441,1920,2024,Omar,Wei,English Literature,205,596,484,2024-10-08,2024-05-16,Y,1,1,P
441,1317,2023,Omar,Wei,Discrete Mathematics,748,596,137,2023-12-10,2023-03-26,N,0,0,A
203,1143,2025,Verma,Joseph,Linguistics,37,886,574,2025-04-03,2023-11-01,Y,1,1,O
203,1306,2025,Verma,Joseph,French,37,886,574,2025-04-03,2023-11-01,Y,1,1,O
141,1266,2023,Ibrahim,William,History,846,794,311,2023-06-04,2023-11-26,N,0,0,A
141,1266,2023,Ibrahim,William,History,295,794,715,2023-11-11,2023-07-10,N,0,0,A
141,557,2024,Ibrahim,William,Arabic,880,794,458,2024-11-12,2024-01-04,Y,1,1,Y
480,871,2025,Yoon,Tafadzwa,Database Design,658,913,843,2025-01-26,2025-07-04,Y,1,1,L
480,871,2023,Yoon,Tafadzwa,Database Design,682,913,182,2023-12-31,2025-01-14,Y,1,1,P
480,871,2024,Yoon,Tafadzwa,Database Design,682,913,169,2024-12-07,2025-06-23,Y,1,1,P
480,871,2023,Yoon,Tafadzwa,Database Design,682,913,397,2023-06-07,2023-07-13,Y,1,1,P
480,1622,2025,Yoon,Tafadzwa,Spanish,286,913,287,2025-03-09,2024-03-14,Y,1,1,P
407,891,2024,Kumar,Thomas,Journalism,231,15,0,2024-11-07,2023-07-27,Y,1,1,P
407,1749,2024,Kumar,Thomas,International Business,954,15,745,2024-10-14,2024-05-03,N,0,0,A
407,1867,2025,Kumar,Thomas,Project Management,67,15,763,2025-07-01,2024-01-06,Y,1,1,P
407,1867,2025,Kumar,Thomas,Project Management,67,15,323,2025-07-16,2024-03-21,Y,1,1,P
407,1867,2023,Kumar,Thomas,Project Management,67,15,579,2023-07-15,2024-05-10,Y,1,1,P
407,1798,2024,Kumar,Thomas,Algorithms,856,15,952,2024-09-15,2024-02-06,N,0,0,A
